algorithm,algorithm_score,mean_absolute_error,mean_squared_error,r2_score,homogeneity_score,adjusted_rand_score,v_measure_score,TimeToBuild,No Skill,F-Measure,AUC,CrossValidation
KNeighborsClassifier,91.2,8.8,8.8,61,53.9,67.4,54.4,0,0.5,0.9,0.87,
GaussianNB,94.7,5.3,5.3,76.6,69.6,79.7,69,0,0.5,0.95,0.92,
SGDClassifier,91.2,8.8,8.8,61,58,67,61.6,0,0.5,0.87,0.85,
ExtraTreeClassifier,90.4,9.6,9.6,57.1,54.6,64.7,53.6,0,0.5,0.91,0.87,
DecisionTreeClassifier,94.7,5.3,5.3,76.6,67.9,79.7,68.6,0.01,0.5,0.94,0.92,
MLPClassifier,90.4,9.6,9.6,57.1,54.6,64.7,53.6,0.33,0.5,0.91,0.87,
RidgeClassifierCV,96.5,3.5,3.5,84.4,76.4,86.2,77.1,0.04,0.5,0.95,0.95,
RidgeClassifier,96.5,3.5,3.5,84.4,76.4,86.2,77.1,0,0.5,0.95,0.95,
GaussianProcessClassifier,77.2,22.8,22.8,-1.3,16.6,26.3,19,0.1,0.5,0.69,0.57,
AdaBoostClassifier,97.4,2.6,2.6,88.3,85.2,89.6,84.2,0.15,0.5,0.98,0.96,
GradientBoostingClassifier,95.6,4.4,4.4,80.5,74.8,83,73.9,0.13,0.5,0.96,0.94,
BaggingClassifier,96.5,3.5,3.5,84.4,76.6,86.2,76.6,0.04,0.5,0.96,0.95,
ExtraTreesClassifier,97.4,2.6,2.6,88.3,81.9,89.6,81.6,0.01,0.5,0.97,0.96,
RandomForestClassifier,93.9,6.1,6.1,72.7,66.6,76.6,65.8,0.02,0.5,0.94,0.91,
CalibratedClassifierCV,92.1,7.9,7.9,64.9,58.1,70.1,60.4,0.06,0.5,0.89,0.87,
LinearDiscriminantAnalysis,96.5,3.5,3.5,84.4,76.4,86.2,77.1,0,0.5,0.95,0.95,
LinearSVC,93,7,7,68.8,64.1,73.2,67.1,0.03,0.5,0.9,0.89,
LogisticRegression,96.5,3.5,3.5,84.4,76.4,86.2,77.1,0.01,0.5,0.95,0.95,
LogisticRegressionCV,97.4,2.6,2.6,88.3,81.1,89.6,81.4,0.56,0.5,0.97,0.96,
NearestCentroid,91.2,8.8,8.8,61,54,67.2,55.8,0,0.5,0.88,0.86,
Perceptron,92.1,7.9,7.9,64.9,57.4,70.4,57.6,0,0.5,0.91,0.88,
QuadraticDiscriminantAnalysis,94.7,5.3,5.3,76.6,71.7,79.8,70.6,0,0.5,0.95,0.93,
MultinomialNB,89.5,10.5,10.5,53.2,47.7,61.4,49.3,0,0.5,0.86,0.83,
