algorithm,algorithm_scoring,mean_absolute_error,mean_squared_error,r2_score,homogeneity_score,adjusted_rand_score,v_measure_score
KNeighborsClassifier,92,8,8,64,56,69,57
SVC,65,35,35,-53,0,0,0
GaussianNB,94,6,6,72,63,76,63
SGDClassifier,92,8,8,66,58,71,60
SGDRegressor,-5.44E+32,8.77E+16,1.23E+32,-5.44E+32,100,0,22
KMeans,-366611521,201,667,-2853,66,27,38
ExtraTreeClassifier,88,12,12,48,48,58,47
DecisionTreeClassifier,89,11,11,53,51,62,50
MLPClassifier,91,9,9,61,54,67,55
RidgeClassifierCV,96,4,4,82,74,84,75
RidgeClassifier,95,5,5,79,71,82,72
PassiveAggressiveClassifier,91,9,9,61,58,67,62
GaussianProcessClassifier,78,22,22,2,18,28,21
AdaBoostClassifier,96,4,4,82,74,84,74
GradientBoostingClassifier,96,4,4,82,74,84,74
BaggingClassifier,94,6,6,74,66,78,66
ExtraTreesClassifier,95,5,5,77,68,80,69
RandomForestClassifier,95,5,5,79,71,82,71
BernoulliNB,65,35,35,-53,0,0,0
CalibratedClassifierCV,93,7,7,69,62,73,64
LabelPropagation,65,35,35,-53,0,0,0
LabelSpreading,65,35,35,-53,0,0,0
LinearDiscriminantAnalysis,96,4,4,84,77,86,78
LinearSVC,92,8,8,66,60,72,59
LogisticRegression,96,4,4,82,74,84,74
LogisticRegressionCV,95,5,5,79,71,82,71
NearestCentroid,91,9,9,59,54,65,57
Perceptron,92,8,8,64,56,69,57
QuadraticDiscriminantAnalysis,95,5,5,77,70,80,69
GaussianMixture,3130,35,35,-53,0,0,0
