algorithm,algorithm_score,mean_absolute_error,mean_squared_error,r2_score,homogeneity_score,adjusted_rand_score,v_measure_score
KNeighborsClassifier,99,1,1,97,94,97,94
SVC,100,0,0,100,100,100,100
GaussianNB,100,0,0,100,100,100,100
SGDClassifier,99,1,1,97,94,97,94
SGDRegressor,99,3,0,99,100,0,23
KMeans,-200891,399,2246,-9529,84,29,45
ExtraTreeClassifier,99,1,1,97,95,97,94
DecisionTreeClassifier,100,0,0,100,100,100,100
MLPClassifier,99,1,1,97,94,97,94
RidgeClassifierCV,100,0,0,100,100,100,100
RidgeClassifier,100,0,0,100,100,100,100
PassiveAggressiveClassifier,99,1,1,97,94,97,94
GaussianProcessClassifier,99,1,1,97,94,97,94
AdaBoostClassifier,100,0,0,100,100,100,100
GradientBoostingClassifier,100,0,0,100,100,100,100
BaggingClassifier,100,0,0,100,100,100,100
ExtraTreesClassifier,100,0,0,100,100,100,100
RandomForestClassifier,98,2,2,91,86,92,87
BernoulliNB,97,3,3,88,81,89,81
CalibratedClassifierCV,100,0,0,100,100,100,100
LabelPropagation,97,3,3,88,82,89,83
LabelSpreading,97,3,3,88,82,89,83
LinearDiscriminantAnalysis,100,0,0,100,100,100,100
LinearSVC,100,0,0,100,100,100,100
LogisticRegression,100,0,0,100,100,100,100
LogisticRegressionCV,100,0,0,100,100,100,100
NearestCentroid,95,5,5,79,71,81,72
Perceptron,99,1,1,94,90,94,90
QuadraticDiscriminantAnalysis,100,0,0,100,100,100,100
GaussianMixture,-1077,37,37,-59,0,0,0
