algorithm,algorithm_score,mean_absolute_error,mean_squared_error,r2_score,homogeneity_score,adjusted_rand_score,v_measure_score,TimeToBuild
KNeighborsClassifier,93,7,7,63.8,55.9,71.7,57.9,0.01
SVC,73.7,26.3,26.3,-35.7,0,0,0,0.03
GaussianNB,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0.01
SGDClassifier,89.5,10.5,10.5,45.7,47.6,60.4,46.3,0.01
SGDRegressor,-1.53E+32,4.94E+16,2.96E+31,-1.53E+32,100,0,25,0.01
KMeans,-125593786,198.2,864.9,-4360.5,75.2,28.7,41.6,0.06
ExtraTreeClassifier,89.5,10.5,10.5,45.7,47.6,60.4,46.3,0.01
DecisionTreeClassifier,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0.01
MLPClassifier,89.5,10.5,10.5,45.7,42.2,59.2,43.7,0.56
RidgeClassifierCV,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0.04
RidgeClassifier,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0.01
PassiveAggressiveClassifier,91.2,8.8,8.8,54.8,49.4,65.6,50.2,0.01
GaussianProcessClassifier,82.5,17.5,17.5,9.5,19.7,34.8,22.4,0.13
AdaBoostClassifier,100,0,0,100,100,100,100,0.22
GradientBoostingClassifier,94.7,5.3,5.3,72.9,67.3,78.9,66.3,0.14
BaggingClassifier,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0.05
ExtraTreesClassifier,94.7,5.3,5.3,72.9,67.3,78.9,66.3,0.02
RandomForestClassifier,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0.03
BernoulliNB,73.7,26.3,26.3,-35.7,0,0,0,0.01
CalibratedClassifierCV,93,7,7,63.8,55.9,71.7,57.9,0.09
LabelPropagation,73.7,26.3,26.3,-35.7,0,0,0,0.02
LabelSpreading,73.7,26.3,26.3,-35.7,0,0,0,0.02
LinearDiscriminantAnalysis,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0.04
LinearSVC,91.2,8.8,8.8,54.8,49.4,65.6,50.2,0.08
LogisticRegression,98.2,1.8,1.8,91,85.5,92.6,87,0.02
LogisticRegressionCV,98.2,1.8,1.8,91,85.5,92.6,87,0.99
NearestCentroid,96.5,3.5,3.5,81.9,75.2,85.3,77.9,0.01
Perceptron,87.7,12.3,12.3,36.7,39.9,54.4,39.4,0.01
QuadraticDiscriminantAnalysis,96.5,3.5,3.5,81.9,74.4,85.6,74.4,0.01
GaussianMixture,3449.4,26.3,26.3,-35.7,0,0,0,0.05
MultinomialNB,87.7,12.3,12.3,36.7,35.8,52.9,37.8,0.01
NuSVC,73.7,26.3,26.3,-35.7,0,0,0,0.04
